卖家ID,前一天登录次数,前一周登录次数,上传产品数量,审核通过的产品总数量,在线产品数量,前一天产品曝光次数,前一周产品曝光次数,最近7天产品曝光次数,前一天在线时长,前一周在线时长,最近7天登录次数,最近7天在线时长,前一个月登录次数,前一个月在线时长,最近30天登录次数,最近30天在线时长,前3个月登录次数,前3个月在线时长,最近90天登录次数,最近90天在线时长,前一月产品曝光次数,最近30天产品曝光次数,前3月产品曝光次数,最近90天产品曝光次数,城市,诚保类型,黄牌数量,警告数量,代理商名称,最近60天手动好评数量,最近60天中评数量,最近60天差评数量,最近60天的订单未评价率
ff8080814c30bd1c014c448e83c3231c,0,0,0,0,0,0,0,0,0,0,0,0,1,0.54,1,0.54,1,0.54,1,0.54,0,0,0,0,惠州市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c448da49f226b,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,杭州市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c448c9ad72264,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,绍兴市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c448c313b22ee,1,6,117,114,114,95,384,474,0.00,8.56,6,6.79,9,7.16,15,13.95,9,7.16,15,13.95,43,517,43,517,温州市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c448c2c3e22fd,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31,1,0.31,1,0.31,1,0.31,0,0,0,0,上饶市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c448b4445227d,1,6,181,176,176,216,500,681,0.00,10.91,6,7.90,9,24.32,15,32.22,9,24.32,15,32.22,252,933,252,933,深圳市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c4488c9a222ec,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,温州市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c448874982249,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,太原市, ,0,0, ,0,0,0,0
ff8080814c30bd1c014c4487894522e4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,郑州市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c448725c22238,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,广州市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c4485754e2256,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,泉州市, ,0,0, ,0,0,0,0
ff8080814c30bd6d014c4483dfb6224b,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,1,0.00,1,0.00,1,0.00,0,0,0,0,长沙市, ,0,0, ,0,0,0,0
ff8080814c30bd6b014c44830e8e2225,0,0,0,0,0,0,0,0,0,0,0,0,1,1.29,1,1.29,1,1.29,1,1.29,0,0,0,0,赣州市, ,0,0, ,0,0,0,0
